AssetName, MemCost.Asset, MemCost.Inst, Tgt MemCost.Asset, Tgt MemCost.Inst
/CRP_7Village/SetupAssets/PID_CP_7Village_Gallery_b, 7210475, 1453047, 7210475, 1453048
/CRP_7Village/SetupAssets/PID_CP_7Village_Gallery_c, 4132532, 1019594, 4132532, 1019600
/CRP_7Village/SetupAssets/PID_CP_7Village_Gallery_d, 3526169, 292879, 3526169, 292880
/CRP_7Village/SetupAssets/PID_CP_7Village_L_Assembly_a, 19103619, 2558956, 19103619, 2558956
/CRP_7Village/SetupAssets/PID_CP_7Village_M_Market_a, 20017156, 2459196, 20017156, 2459192
/CRP_7Village/SetupAssets/PID_CP_7Village_S_Hut_a, 7610344, 459216, 7610344, 459216
/CRP_7Village/SetupAssets/PID_CP_7Village_S_Hut_b, 9907679, 727509, 9907679, 727514
/CRP_7Village/SetupAssets/PID_CP_7Village_XL_House_a, 27613037, 5273461, 27613037, 5273452
/CRP_7Village/SetupAssets/PID_CP_7Village_XL_Hydro_a, 23818555, 4669121, 23818555, 4669120
/CRP_7Village/SetupAssets/PID_CP_Props_7Village_a, 3088760, 48664, 3088760, 48664
/CRP_7Village/SetupAssets/PID_CP_Props_7Village_b, 22535178, 1319184, 22535178, 1319184
/CRP_Background/SetupAssets/PID_CP_Background_S_Bldg_a, 353684, 6952, 353684, 6952
/CRP_Background/SetupAssets/PID_CP_Background_S_Bldg_b, 677321, 6952, 677321, 6952
/CRP_Background/SetupAssets/PID_CP_Background_S_Bldg_c, 779370, 6952, 779370, 6952
/CRP_Background/SetupAssets/PID_CP_Background_S_Bldg_d, 805741, 6976, 805741, 6976
/CRP_Background/SetupAssets/PID_CP_Background_S_Dune_Sand_a, 553687, 6952, 553687, 6952
/CRP_Background/SetupAssets/PID_CP_Background_S_Dune_Sand_b, 2176908, 6952, 2176908, 6952
/CRP_Background/SetupAssets/PID_CP_Background_S_Dune_Sand_c, 3472460, 6952, 3472460, 6952
/CRP_Background/SetupAssets/PID_CP_Background_S_Dune_Snow_a, 578123, 6928, 578123, 6928
/CRP_Background/SetupAssets/PID_CP_Background_S_Dune_Snow_b, 2201344, 6928, 2201344, 6928
/CRP_Background/SetupAssets/PID_CP_Background_S_Dune_Snow_c, 3496896, 6928, 3496896, 6928
/CRP_Chonkers/SetupAssets/Maps/PID_CP_Chonkers_Gallery_a, 4044301, 997557, 4044301, 997560
/CRP_Chonkers/SetupAssets/Maps/PID_CP_Chonkers_Gallery_b, 3733944, 487039, 3733944, 487040
/CRP_Chonkers/SetupAssets/Maps/PID_CP_Chonkers_L_Restaurant_a, 18080000, 2533727, 18080000, 2533728
/CRP_Chonkers/SetupAssets/Maps/PID_CP_Chonkers_M_Garage_a, 14547212, 1701588, 14547212, 1701588
/CRP_Chonkers/SetupAssets/Maps/PID_CP_Chonkers_S_Stands_a, 7729330, 802932, 7729330, 802936
/CRP_Chonkers/SetupAssets/Maps/PID_CP_Props_Chonkers_a, 30175075, 1247456, 30175075, 1247456
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_Gallery_a, 3141686, 370552, 3141686, 370552
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_Gallery_b, 6662772, 1414406, 6662772, 1414408
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_Gallery_Blimp_a, 16203819, 548391, 16203819, 548392
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_Gallery_Blimp_b, 2510011, 321750, 2510011, 321752
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_Gallery_Blimp_c, 5325557, 254080, 5325557, 254080
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_Gallery_Drill_a, 13052363, 412864, 13052363, 412864
